,SYMBOL,SERIES,OPEN_day2cm,HIGH_day2cm,LOW_day2cm,CLOSE_day2cm,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP_day2cm,TOTALTRADES,ISIN,INSTRUMENT,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN_day2fo,HIGH_day2fo,LOW_day2fo,CLOSE_day2fo,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP_day2fo,ACTUAL BASIS,ACTUAL BASIS %,DAYS TO EXPIRE,FV
13,ABIRLANUVO,EQ,2015.0,2059.05,2002.4,2047.8,2050.1,2016.35,83641.0,170801368.75,2015-11-06,5057.0,INE069A01017,FUTSTK,2015-11-26,0.0,XX,2021.05,2064.0,2014.95,2055.35,2055.35,759.0,3887.57,676000.0,-23000.0,2015-11-06,0.003673340307,0.3673340307,20,2055.64559905
14,ABIRLANUVO,EQ,2015.0,2059.05,2002.4,2047.8,2050.1,2016.35,83641.0,170801368.75,2015-11-06,5057.0,INE069A01017,FUTSTK,2015-12-31,0.0,XX,0.0,0.0,0.0,2038.65,2070.65,0.0,0.0,6750.0,0.0,2015-11-06,0.0110351821892,1.10351821892,55,2069.44779447
15,ABIRLANUVO,EQ,2015.0,2059.05,2002.4,2047.8,2050.1,2016.35,83641.0,170801368.75,2015-11-06,5057.0,INE069A01017,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,2157.25,2082.35,0.0,0.0,0.0,0.0,2015-11-06,0.0165918313444,1.65918313444,83,2080.55624477
166,ACC,EQ,1388.0,1392.65,1371.1,1384.05,1382.0,1388.75,74882.0,103480227.1,2015-11-06,4434.0,INE012A01025,FUTSTK,2015-11-26,0.0,XX,1398.75,1398.75,1374.0,1384.35,1384.35,1328.0,6886.47,1204125.0,4875.0,2015-11-06,0.000216708202405,0.0216708202405,20,1389.35261811
167,ACC,EQ,1388.0,1392.65,1371.1,1384.05,1382.0,1388.75,74882.0,103480227.1,2015-11-06,4434.0,INE012A01025,FUTSTK,2015-12-31,0.0,XX,1395.35,1395.4,1384.85,1390.8,1390.8,21.0,109.42,30750.0,750.0,2015-11-06,0.00485332182916,0.485332182916,55,1398.68113094
168,ACC,EQ,1388.0,1392.65,1371.1,1384.05,1382.0,1388.75,74882.0,103480227.1,2015-11-06,4434.0,INE012A01025,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,1452.6,1407.4,0.0,0.0,375.0,0.0,2015-11-06,0.0165908767941,1.65908767941,83,1406.18901776
402,ADANIENT,EQ,81.9,82.4,78.0,79.05,79.0,81.55,3374873.0,268750593.05,2015-11-06,20997.0,INE423A01024,FUTSTK,2015-11-26,0.0,XX,81.05,84.0,78.1,79.45,79.45,1582.0,7578.15,12816000.0,546000.0,2015-11-06,0.00503461296413,0.503461296413,20,79.3528589729
403,ADANIENT,EQ,81.9,82.4,78.0,79.05,79.0,81.55,3374873.0,268750593.05,2015-11-06,20997.0,INE423A01024,FUTSTK,2015-12-31,0.0,XX,82.8,83.0,79.1,80.05,80.05,45.0,217.33,306000.0,48000.0,2015-11-06,0.0124921923798,1.24921923798,55,79.885656877
404,ADANIENT,EQ,81.9,82.4,78.0,79.05,79.0,81.55,3374873.0,268750593.05,2015-11-06,20997.0,INE423A01024,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,92.85,80.4,0.0,0.0,0.0,0.0,2015-11-06,0.0167910447761,1.67910447761,83,80.3144697477
519,ADANIPORTS,EQ,284.5,287.9,281.3,285.05,285.0,284.1,2510273.0,715019557.4,2015-11-06,78367.0,INE742F01042,FUTSTK,2015-11-26,0.0,XX,287.0,289.2,282.6,286.65,286.65,2114.0,9679.17,25764800.0,-220800.0,2015-11-06,0.00558171986743,0.558171986743,20,286.142092982
520,ADANIPORTS,EQ,284.5,287.9,281.3,285.05,285.0,284.1,2510273.0,715019557.4,2015-11-06,78367.0,INE742F01042,FUTSTK,2015-12-31,0.0,XX,288.45,290.35,285.0,288.1,288.1,43.0,197.96,147200.0,6400.0,2015-11-06,0.0105866018743,1.05866018743,55,288.063333242
521,ADANIPORTS,EQ,284.5,287.9,281.3,285.05,285.0,284.1,2510273.0,715019557.4,2015-11-06,78367.0,INE742F01042,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,309.95,289.85,0.0,0.0,3200.0,0.0,2015-11-06,0.0165602898051,1.65602898051,83,289.609609128
666,ADANIPOWER,EQ,30.5,30.95,28.3,28.75,28.8,30.05,9026263.0,263510346.15,2015-11-06,19659.0,INE814H01011,FUTSTK,2015-11-26,0.0,XX,30.75,30.75,28.4,28.95,28.95,1201.0,7033.92,63280000.0,-680000.0,2015-11-06,0.00690846286701,0.690846286701,20,28.8601479503
667,ADANIPOWER,EQ,30.5,30.95,28.3,28.75,28.8,30.05,9026263.0,263510346.15,2015-11-06,19659.0,INE814H01011,FUTSTK,2015-12-31,0.0,XX,30.8,30.8,28.7,29.15,29.15,28.0,165.43,1420000.0,120000.0,2015-11-06,0.0137221269297,1.37221269297,55,29.0539232791
668,ADANIPOWER,EQ,30.5,30.95,28.3,28.75,28.8,30.05,9026263.0,263510346.15,2015-11-06,19659.0,INE814H01011,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,31.2,29.25,0.0,0.0,20000.0,0.0,2015-11-06,0.017094017094,1.7094017094,83,29.2098798893
790,AJANTPHARM,EQ,1502.6,1511.5,1448.1,1462.95,1462.0,1502.6,98698.0,145255368.95,2015-11-06,7963.0,INE031B01049,FUTSTK,2015-11-26,0.0,XX,1505.05,1515.75,1452.0,1467.5,1467.5,783.0,4629.38,496000.0,-10000.0,2015-11-06,0.00310051107325,0.310051107325,20,1468.5549024
791,AJANTPHARM,EQ,1502.6,1511.5,1448.1,1462.95,1462.0,1502.6,98698.0,145255368.95,2015-11-06,7963.0,INE031B01049,FUTSTK,2015-12-31,0.0,XX,1504.3,1504.3,1471.95,1471.95,1479.25,10.0,59.47,10400.0,2400.0,2015-11-06,0.0110190975156,1.10190975156,55,1478.41520213
792,AJANTPHARM,EQ,1502.6,1511.5,1448.1,1462.95,1462.0,1502.6,98698.0,145255368.95,2015-11-06,7963.0,INE031B01049,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,1597.0,1487.65,0.0,0.0,0.0,0.0,2015-11-06,0.0166033677276,1.66033677276,83,1486.35108814
917,ALBK,EQ,74.9,75.7,73.45,74.5,74.9,74.4,1410741.0,105114218.0,2015-11-06,7089.0,INE428A01015,FUTSTK,2015-11-26,0.0,XX,74.7,75.95,73.65,74.95,74.95,790.0,3548.54,9438000.0,72000.0,2015-11-06,0.00600400266845,0.600400266845,20,74.7854268625
918,ALBK,EQ,74.9,75.7,73.45,74.5,74.9,74.4,1410741.0,105114218.0,2015-11-06,7089.0,INE428A01015,FUTSTK,2015-12-31,0.0,XX,74.5,75.85,74.5,75.45,75.35,9.0,40.56,210000.0,18000.0,2015-11-06,0.0112806901128,1.12806901128,55,75.2875577146
919,ALBK,EQ,74.9,75.7,73.45,74.5,74.9,74.4,1410741.0,105114218.0,2015-11-06,7089.0,INE428A01015,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,76.1,75.8,0.0,0.0,0.0,0.0,2015-11-06,0.0171503957784,1.71503957784,83,75.6916887565
