INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,16905,17279,16893.85,17214.6,17214.6,101508,522192.6,2462100,38220,16-NOV-2015,
FUTIDX,BANKNIFTY,31-Dec-2015,0,XX,17000,17367,17000,17308.35,17308.35,3999,20691.87,91890,6960,16-NOV-2015,
FUTIDX,BANKNIFTY,28-Jan-2016,0,XX,17170.3,17461,17158.35,17394.55,17394.55,336,1749.73,14880,4260,16-NOV-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,17170,17285,17160,17260,17260,862,4449.39,10740,-5550,16-NOV-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,17075,17205,17075,17205,17357.5,26,133.62,1530,480,16-NOV-2015,
FUTIDX,DJIA,15-Jan-2016,0,XX,0,0,0,17447.5,17457.5,0,0,0,0,16-NOV-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,16072.5,17680,0,0,30,0,16-NOV-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,16385,18007.5,0,0,30,0,16-NOV-2015,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,18342.5,0,0,30,0,16-NOV-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,0,0,0,6300,6124,0,0,75,0,16-NOV-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6158,0,0,0,0,16-NOV-2015,
FUTIDX,FTSE100,15-Jan-2016,0,XX,0,0,0,6386,6193,0,0,0,0,16-NOV-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6273,0,0,0,0,16-NOV-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6389,0,0,0,0,16-NOV-2015,
FUTIDX,FTSE100,16-Sep-2016,0,XX,0,0,0,6637,6507,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTY,26-Nov-2015,0,XX,7738,7857.7,7725.75,7827.25,7827.25,157193,919323.48,17152425,-398925,16-NOV-2015,
FUTIDX,NIFTY,31-Dec-2015,0,XX,7780,7899.9,7771.5,7870.95,7870.95,8555,50285.77,4159050,23025,16-NOV-2015,
FUTIDX,NIFTY,28-Jan-2016,0,XX,7825.45,7940,7815,7910.8,7910.8,760,4489.43,277275,300,16-NOV-2015,
FUTIDX,NIFTYINFRA,26-Nov-2015,0,XX,0,0,0,3019.6,2720.3,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTYINFRA,31-Dec-2015,0,XX,0,0,0,2832.6,2739.75,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTYINFRA,28-Jan-2016,0,XX,0,0,0,2934.6,2755.3,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTYIT,26-Nov-2015,0,XX,11019.7,11091.45,10940,11038.8,11038.8,156,773.19,15705,1080,16-NOV-2015,
FUTIDX,NIFTYIT,31-Dec-2015,0,XX,0,0,0,12196.45,11104.25,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTYIT,28-Jan-2016,0,XX,0,0,0,11762.3,11167.2,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTYMID50,26-Nov-2015,0,XX,0,0,0,3417.5,3261.45,0,0,37500,0,16-NOV-2015,
FUTIDX,NIFTYMID50,31-Dec-2015,0,XX,0,0,0,3224.45,3284.8,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTYMID50,28-Jan-2016,0,XX,0,0,0,3389.2,3303.4,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTYPSE,26-Nov-2015,0,XX,0,0,0,3158.15,2996.75,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTYPSE,31-Dec-2015,0,XX,0,0,0,3039.2,3018.15,0,0,0,0,16-NOV-2015,
FUTIDX,NIFTYPSE,28-Jan-2016,0,XX,0,0,0,3114.1,3035.3,0,0,0,0,16-NOV-2015,
FUTIDX,S&P500,20-Nov-2015,0,XX,2012,2028,2011.5,2025,2025,750,3779.68,129500,-104750,16-NOV-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,2011.75,2022,2009.25,2022,2022,44,221.58,10250,6500,16-NOV-2015,
FUTIDX,S&P500,15-Jan-2016,0,XX,0,0,0,2060,2047.75,0,0,0,0,16-NOV-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2074,0,0,0,0,16-NOV-2015,
FUTIDX,S&P500,17-Jun-2016,0,XX,0,0,0,2299,2112.5,0,0,0,0,16-NOV-2015,
FUTIDX,S&P500,16-Sep-2016,0,XX,0,0,0,2150.5,2151.75,0,0,0,0,16-NOV-2015,
FUTIVX,INDIAVIX,17-Nov-2015,0,XX,1925,1925,1925,1925,1793,1,8.66,450,450,16-NOV-2015,
FUTIVX,INDIAVIX,24-Nov-2015,0,XX,0,0,0,1946.75,1797.75,0,0,0,0,16-NOV-2015,
FUTIVX,INDIAVIX,01-Dec-2015,0,XX,0,0,0,1722.75,1797.5,0,0,0,0,16-NOV-2015,
FUTSTK,ABIRLANUVO,26-Nov-2015,0,XX,1975.95,1995.8,1975.95,1984.35,1984.35,417,2071.88,740000,5750,16-NOV-2015,
FUTSTK,ABIRLANUVO,31-Dec-2015,0,XX,2011.15,2011.15,1999,2005.8,2005.8,9,45.02,12000,1000,16-NOV-2015,
FUTSTK,ABIRLANUVO,28-Jan-2016,0,XX,0,0,0,2019.05,2009.3,0,0,250,0,16-NOV-2015,
FUTSTK,ACC,26-Nov-2015,0,XX,1322,1335.8,1301.3,1328.95,1328.95,2364,11693.17,1270875,-10125,16-NOV-2015,
FUTSTK,ACC,31-Dec-2015,0,XX,1312.85,1340.45,1308.65,1334.5,1334.5,66,326.74,47625,6375,16-NOV-2015,
FUTSTK,ACC,28-Jan-2016,0,XX,0,0,0,1333,1344.15,0,0,2625,0,16-NOV-2015,
FUTSTK,ADANIENT,26-Nov-2015,0,XX,75.65,78.7,74.9,77.4,77.4,965,4460.69,13440000,-234000,16-NOV-2015,
FUTSTK,ADANIENT,31-Dec-2015,0,XX,76.7,78.8,75.75,78.05,77.8,51,236.22,480000,36000,16-NOV-2015,
FUTSTK,ADANIENT,28-Jan-2016,0,XX,0,0,0,92.85,78.25,0,0,0,0,16-NOV-2015,
FUTSTK,ADANIPORTS,26-Nov-2015,0,XX,267.95,274.4,267.95,273.4,273.4,3755,16323.09,29420800,353600,16-NOV-2015,
FUTSTK,ADANIPORTS,31-Dec-2015,0,XX,270.5,275.4,270.2,274.7,274.7,89,388.65,441600,54400,16-NOV-2015,
FUTSTK,ADANIPORTS,28-Jan-2016,0,XX,0,0,0,272.35,276.15,0,0,16000,0,16-NOV-2015,
FUTSTK,ADANIPOWER,26-Nov-2015,0,XX,27.45,28.8,27.45,28.65,28.65,615,3474.15,66120000,580000,16-NOV-2015,
FUTSTK,ADANIPOWER,31-Dec-2015,0,XX,27.6,28.85,27.6,28.85,28.85,64,360.91,2500000,680000,16-NOV-2015,
FUTSTK,ADANIPOWER,28-Jan-2016,0,XX,27.95,28.75,27.95,28.75,28.9,2,11.34,40000,0,16-NOV-2015,
FUTSTK,AJANTPHARM,26-Nov-2015,0,XX,1380.05,1390,1325.05,1336.35,1336.35,1369,7386.98,668800,108000,16-NOV-2015,
FUTSTK,AJANTPHARM,31-Dec-2015,0,XX,1375,1382.3,1335,1344.3,1344.3,63,341.4,28800,13200,16-NOV-2015,
FUTSTK,AJANTPHARM,28-Jan-2016,0,XX,0,0,0,1597,1355.65,0,0,0,0,16-NOV-2015,
FUTSTK,ALBK,26-Nov-2015,0,XX,75.2,76.4,74.7,76.15,76.15,954,4330.1,10104000,240000,16-NOV-2015,
FUTSTK,ALBK,31-Dec-2015,0,XX,75.7,76.7,75.1,76.55,76.55,39,177.86,330000,84000,16-NOV-2015,
FUTSTK,ALBK,28-Jan-2016,0,XX,0,0,0,76.3,76.8,0,0,18000,0,16-NOV-2015,
FUTSTK,AMARAJABAT,26-Nov-2015,0,XX,872.05,898,872.05,891.4,891.4,512,2729.64,1021200,8400,16-NOV-2015,
FUTSTK,AMARAJABAT,31-Dec-2015,0,XX,881.75,900,881.75,900,896.25,5,26.79,7800,0,16-NOV-2015,
